大分類,大分類名,中分類,中分類名,小分類,小分類名,細分類,細分類名
1,食品,11,加工食品,1101,調味料,110101,醤油
1,食品,11,加工食品,1101,調味料,110103,砂糖
1,食品,11,加工食品,1101,調味料,110105,低カロリー甘味料
1,食品,11,加工食品,1101,調味料,110107,味噌
1,食品,11,加工食品,1101,調味料,110109,食塩
1,食品,11,加工食品,1101,調味料,110111,食酢
1,食品,11,加工食品,1101,調味料,110113,合わせ酢（和風）
1,食品,11,加工食品,1101,調味料,110115,みりん風調味料
1,食品,11,加工食品,1101,調味料,110117,料理用日本酒
1,食品,11,加工食品,1101,調味料,110119,料理用ワイン
1,食品,11,加工食品,1101,調味料,110121,風味調味料
1,食品,11,加工食品,1101,調味料,110123,液体だし
1,食品,11,加工食品,1101,調味料,110125,単一・複合調味料
1,食品,11,加工食品,1101,調味料,110129,ソース
1,食品,11,加工食品,1101,調味料,110131,ケチャップ
1,食品,11,加工食品,1101,調味料,110133,焼き肉のたれ
1,食品,11,加工食品,1101,調味料,110137,マヨネーズ
1,食品,11,加工食品,1101,調味料,110139,ドレッシング
1,食品,11,加工食品,1101,調味料,110141,香辛料（からし・わさび以外）
1,食品,11,加工食品,1101,調味料,110142,からし・わさび
1,食品,11,加工食品,1101,調味料,110143,つゆ
1,食品,11,加工食品,1101,調味料,110149,中華調味料
1,食品,11,加工食品,1102,食用油,110203,ゴマ油
1,食品,11,加工食品,1102,食用油,110205,サラダ油・天ぷら油
1,食品,11,加工食品,1102,食用油,110207,動物性油脂
1,食品,11,加工食品,1102,食用油,110209,オリーブ油
1,食品,11,加工食品,1102,食用油,110211,香味油
1,食品,11,加工食品,1103,スプレッド類,110301,ピーナッツ・チョコクリーム
1,食品,11,加工食品,1103,スプレッド類,110303,ジャム・マーマレード
1,食品,11,加工食品,1104,乳製品,110401,バター
1,食品,11,加工食品,1104,乳製品,110403,マーガリン・ファットスプレッド類
1,食品,11,加工食品,1104,乳製品,110405,チーズ
1,食品,11,加工食品,1104,乳製品,110407,インスタントクリームパウダー
1,食品,11,加工食品,1104,乳製品,110409,スキムミルク
1,食品,11,加工食品,1104,乳製品,110411,練りミルク
1,食品,11,加工食品,1104,乳製品,110413,フレッシュクリーム
1,食品,11,加工食品,1104,乳製品,110415,ホイップクリーム
1,食品,11,加工食品,1105,調理品,110501,インスタントカレー
1,食品,11,加工食品,1105,調理品,110502,調理済みカレー
1,食品,11,加工食品,1105,調理品,110503,インスタントシチュー
1,食品,11,加工食品,1105,調理品,110504,調理済みシチュー
1,食品,11,加工食品,1105,調理品,110505,ソースミックス
1,食品,11,加工食品,1105,調理品,110507,中華料理の素
1,食品,11,加工食品,1105,調理品,110509,まぜ御飯の素
1,食品,11,加工食品,1105,調理品,110511,米飯加工品
1,食品,11,加工食品,1105,調理品,110513,レンジ専用食品
1,食品,11,加工食品,1105,調理品,110515,ふりかけ
1,食品,11,加工食品,1105,調理品,110517,お茶漬の素
1,食品,11,加工食品,1106,スープ,110601,調理用スープ
1,食品,11,加工食品,1106,スープ,110603,インスタントスープ
1,食品,11,加工食品,1106,スープ,110605,インスタント味噌汁・吸物
1,食品,11,加工食品,1107,冷凍食品,110701,冷凍水産素材
1,食品,11,加工食品,1107,冷凍食品,110703,冷凍畜産素材
1,食品,11,加工食品,1107,冷凍食品,110705,冷凍農産素材
1,食品,11,加工食品,1107,冷凍食品,110707,冷凍調理
1,食品,11,加工食品,1107,冷凍食品,110721,冷凍ピザ・グラタン類
1,食品,11,加工食品,1107,冷凍食品,110723,冷凍麺
1,食品,11,加工食品,1107,冷凍食品,110725,冷凍米飯加工品
1,食品,11,加工食品,1107,冷凍食品,110791,氷
